frame_number,id,group_name,group_num,x,y,width,height,isDeputy,confidence,isGT,debug_data
125,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
131,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
137,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
143,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
149,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
155,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
161,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
167,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
173,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
179,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
185,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
191,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
197,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
203,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
209,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
215,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
221,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
227,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
233,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
239,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
245,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
251,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
257,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
263,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
269,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
275,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
281,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
287,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
293,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
299,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
305,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
311,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
317,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
323,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
329,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
335,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
341,48,none,48,0.40417,0.00370,0.32708,0.66759,-1,-1,1,-1
347,48,none,48,0.46181,0.00093,0.32847,0.67500,-1,-1,1,-1
353,48,none,48,0.47778,0.02315,0.33403,0.68241,-1,-1,1,-1
359,48,none,48,0.44375,0.07778,0.33403,0.68148,-1,-1,1,-1
365,48,none,48,0.39167,0.11667,0.36944,0.72315,-1,-1,1,-1
371,48,none,48,0.39167,0.13333,0.33611,0.69630,-1,-1,1,-1
377,48,none,48,0.38125,0.09815,0.34236,0.68519,-1,-1,1,-1
383,48,none,48,0.37153,0.08148,0.33889,0.69352,-1,-1,1,-1
389,48,none,48,0.36111,0.07130,0.35139,0.71204,-1,-1,1,-1
395,48,none,48,0.35556,0.07037,0.32500,0.70833,-1,-1,1,-1
401,48,none,48,0.34861,0.08148,0.31458,0.69722,-1,-1,1,-1
407,48,none,48,0.31667,0.05926,0.33403,0.71481,-1,-1,1,-1
413,48,none,48,0.30208,0.04907,0.37153,0.68611,-1,-1,1,-1
419,48,none,48,0.33472,0.03704,0.36111,0.70000,-1,-1,1,-1
425,48,none,48,0.42917,0.05556,0.35903,0.70093,-1,-1,1,-1
431,48,none,48,0.52569,0.10370,0.37500,0.70741,-1,-1,1,-1
437,48,none,48,0.56806,0.01944,0.33611,0.64630,-1,-1,1,-1
443,48,none,48,0.54375,0.00370,0.32639,0.61667,-1,-1,1,-1
449,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
455,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
461,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
467,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
473,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
479,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
485,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
491,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
497,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
503,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
509,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
515,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
521,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
527,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
533,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
539,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
545,-1,none,-1,-1,-1,-1,-1,-1,-1,1,-1
